Chemical name	Distance (lower = more similar)
Bismuth(III) trifluoromethanesulfonate	7
Praseodymium(III) trifluoromethanesulfonate	7
TRIS[(TRIFLUOROMETHYL)SULFONYL]METHANE	7
2,2,3,3-tetrafluoropropyl trifluoromethanesulfonate	7
Ethanesulfonic acid, 1-oxo-	7
2,2,3,3,4,4,4-heptafluorobutyl 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	7
Magnesium nonafluorobutanesulfonate	7
2,2,3,3,4,4,4-heptafluorobutyl trifluoromethanesulfonate	7
2,2,2-Trifluoroethyl Nonafluorobutanesulfonate	7
2,2-difluoroethyl trifluoromethanesulfonate	7
2,2,3,3,3-pentafluoropropyl trifluoromethanesulfonate	7
Tin(II) trifluoromethanesulfonate	7
Mercury(II) trifluoromethanesulfonate	7
2,2,3,3,4,4,5,5-octafluoropentyl trifluoromethanesulfonate	7
Magnesium trifluoromethanesulfonate	7
Ytterbium(3+) tris(trifluoromethanesulfonate)	7
Lanthanum tris(trifluoromethanesulfonate)	7
Cerium(III) Triflate	7
Indium(III) trifluoromethanesulfonate	7
Scandium(III) triflate	7
Thulium(III) trifluoromethanesulfonate	7
Yttrium(III) trifluoromethanesulfonate	7
Neodymium(III) trifluoromethanesulfonate	7
GALLIUM(III) TRIFLUOROMETHANESULFONATE	7
difluorosulfoacetic acid	7
Potassium 1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propanesulphonate	7
Methanetrisulphonic acid	7
3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-Heptadecafluorodecanesulphonic acid	7
Thiosulfuric acid	7
Methanesulfonic acid, trifluoro-, 2,2,2-trifluoroethyl ester	7
1-Nonanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-	7
Methanesulfonic acid, trifluoro-, calcium salt	7
Methanesulfonic acid, trifluoro-, zinc salt	7
1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-	7
Methanesulfonic acid, trifluoro-, barium salt	7
1-Heptanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	7
1-Hexanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	7
Perfluorodecanesulphonyl fluoride	7
Ethanesulfonyl fluoride, pentafluoro-	7
Methanesulfonyl fluoride, trifluoro-	7
Tetrathioic acid	7
1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-	7
1-(Trifluoromethanesulfonyl)prop-1-ene	8
Methyl dichloromethanesulfonate	8
1,1,1,2,2,3,3,4,4-Nonafluoro-4-(prop-1-ene-1-sulfonyl)butane	8
Tribromo(dibromomethanesulfonyl)methane	8
