Chemical name	Distance (lower = more similar)
2,2,3,3,4,4,4-heptafluorobutyl 1,1,2,2,3,3,4,4,4-nonafluorobutane-1-sulfonate	0.21875
Magnesium nonafluorobutanesulfonate	0.21875
2,2,3,3,4,4,4-heptafluorobutyl trifluoromethanesulfonate	0.21875
2,2,2-Trifluoroethyl Nonafluorobutanesulfonate	0.21875
2,2-difluoroethyl trifluoromethanesulfonate	0.21875
2,2,3,3,3-pentafluoropropyl trifluoromethanesulfonate	0.21875
Tin(II) trifluoromethanesulfonate	0.21875
Mercury(II) trifluoromethanesulfonate	0.21875
2,2,3,3,4,4,5,5-octafluoropentyl trifluoromethanesulfonate	0.21875
Magnesium trifluoromethanesulfonate	0.21875
Ytterbium(3+) tris(trifluoromethanesulfonate)	0.21875
Lanthanum tris(trifluoromethanesulfonate)	0.21875
Cerium(III) Triflate	0.21875
Indium(III) trifluoromethanesulfonate	0.21875
Scandium(III) triflate	0.21875
Thulium(III) trifluoromethanesulfonate	0.21875
Yttrium(III) trifluoromethanesulfonate	0.21875
Neodymium(III) trifluoromethanesulfonate	0.21875
GALLIUM(III) TRIFLUOROMETHANESULFONATE	0.21875
Potassium 1,1,2,3,3,3-hexafluoro-2-(trifluoromethyl)propanesulphonate	0.21875
Methanesulfonic acid, trifluoro-, 2,2,2-trifluoroethyl ester	0.21875
Methanesulfonic acid, trifluoro-, calcium salt	0.21875
Methanesulfonic acid, trifluoro-, zinc salt	0.21875
Methanesulfonic acid, trifluoro-, barium salt	0.21875
Propane, 1,1,1,2,3,3,3-heptafluoro-2-[(trifluoromethyl)sulfonyl]-	0.2222222222222222
Ethane, 1,1'-sulfonylbis[1,1,2,2,2-pentafluoro-	0.2222222222222222
Cyclopropanesulfonic Acid	0.22580645161290322
Ethanesulfonic acid, 1-oxo-	0.22580645161290322
Methanetrisulphonic acid	0.22580645161290322
4'-(Trifluoromethyl)[1,1'-biphenyl]-4-sulfonic acid	0.22857142857142856
2-Fluorobenzene-1-sulfonic acid	0.22857142857142856
3,4-Difluorobenzene-1-sulfonic acid	0.22857142857142856
2,4-Difluorobenzene-1-sulfonic acid	0.22857142857142856
Difluoro(1,1,2,2-tetrafluoro-2-sulfoethoxy)acetic acid	0.22857142857142856
2,3,5,6-Tetrafluorobenzene-1-sulfonic acid	0.22857142857142856
2,3,4,5-Tetrafluorobenzene-1-sulfonic acid	0.22857142857142856
Ethanesulfonic acid, 1,1,2,2-tetrafluoro-2-((trifluoroethenyl)oxy)-, polymer with tetrafluoroethene	0.22857142857142856
1,1,2,2,3,3-Hexafluoropropyl sulfurofluoridate	0.23333333333333334
1,1,2,2-Tetrafluoro-2-hydroxyethane-1-sulfonyl fluoride	0.23333333333333334
Heptafluoropropyl sulfurofluoridate	0.23333333333333334
Tetrathioic acid	0.23333333333333334
Dimethylsilyl trifluoromethanesulfonate	0.23529411764705882
Methanesulfonic acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/1)	0.23529411764705882
3-Bromobenzene-1-sulfonic acid	0.23529411764705882
3,5-dichlorobenzenesulfonic Acid	0.23529411764705882
3-iodobenzenesulfonic Acid	0.23529411764705882
4-Chlorobenzenesulfonic acid	0.23529411764705882
1,2-Bis(trifluoromethanesulfonyl)ethene	0.2413793103448276
Dodecafluorohexane-1,6-disulfonyl difluoride	0.2413793103448276
Octafluorobutane-1,4-disulfonyl difluoride	0.2413793103448276
1,2,2,3,3,4-Hexafluorobutane-1,4-disulfonyl difluoride	0.2413793103448276
2,2,3,3-Tetrafluoro-3-(fluorosulfonyl)propanoyl fluoride	0.2413793103448276
1,2,2,3-Tetrafluoropropane-1,3-disulfonyl difluoride	0.2413793103448276
Fluoro[tris(trifluoromethanesulfonyl)]methane	0.2413793103448276
1,2,2,3,3,4,4,5,5,6-Decafluorohexane-1,6-disulfonyl difluoride	0.2413793103448276
Butanoyl fluoride, 2,2,3,3,4,4-hexafluoro-4-(fluorosulfonyl)-	0.2413793103448276
1,1,2,2,3,3-hexafluoropropane-1,3-disulfonyldifluoride	0.2413793103448276
TRIS[(TRIFLUOROMETHYL)SULFONYL]METHANE	0.2413793103448276
Thiosulfuric acid	0.2413793103448276
Sulfuric acid--2-bromo-1,1,2,2-tetrafluoroethan-1-ol (1/2)	0.24242424242424243
Trifluoroacetyl triflate	0.24242424242424243
Fluorosulphuric acid, compound with antimony pentafluoride (4:1)	0.24242424242424243
2,2,2-Trifluoroethyl trichloromethanesulphonate	0.24242424242424243
Benzeneselenyl trifalate	0.24242424242424243
Methanesulfonic acid, trifluoro-, 2-propynyl ester	0.24242424242424243
Trifluoromethanesulfonic acid--(naphthalen-1-yl)phosphane (1/1)	0.25
Methyl dichloromethanesulfonate	0.25
1,2,2,2-Tetrafluoroethane-1-sulfonic acid--pyridine (1/1)	0.25
2,3,5,6-Tetrafluoro-4-sulfanylbenzene-1-sulfonic acid	0.25
4'-Fluoro[1,1'-biphenyl]-4-sulfonic acid	0.25
Trifluoromethyl 2,2,2-trifluoroethane-1-sulfonate	0.25
2-Fluoro-5-methylbenzene-1-sulfonic acid	0.25
Difluoromethanesulfonyl fluoride	0.25
1,1-Ethanedisulfonic acid, 2-oxo-	0.25
2-Propanesulfonic acid, 2-methyl-	0.25
NSC175780	0.25
1-Nonanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,9,9,9-nonadecafluoro-	0.25
1-Heptanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,7-pentadecafluoro-	0.25
1-Hexanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	0.25
Perfluorodecanesulphonyl fluoride	0.25
Ethanesulfonyl fluoride, pentafluoro-	0.25
Methanesulfonyl fluoride, trifluoro-	0.25
1-Octanesulfonyl fluoride, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-	0.25
Benzenesulfonic acid	0.25
1,2-Dichloroethane-1,1-disulfonic acid	0.2571428571428571
(4-Fluorophenyl)methanesulfonic acid	0.2571428571428571
m-(Chlorocarbonyl)benzenesulphonic acid	0.2571428571428571
Methane(~2~H)sulfonic acid	0.25806451612903225
1,1,2,2,3,3,4,4-Octafluoro-4-iodobutyl sulfurofluoridate	0.25806451612903225
2-Chloro-1,1,2,2-tetrafluoroethyl sulfurofluoridate	0.25806451612903225
1,1,2,3,3,3-Hexafluoro-2-iodopropyl sulfurofluoridate	0.25806451612903225
1,1,2,2-Tetrafluoro-2-iodoethyl sulfurofluoridate	0.25806451612903225
Fluorosulfuric acid, 2-bromo-1,1,2,2-tetrafluoroethyl ester	0.25806451612903225
2-phenylethenesulfonic acid	0.25806451612903225
Disulfuryl fluoride	0.25806451612903225
(1,1,1,2,3,3,3-Heptafluoropropan-2-yl)(phenyl)iodanium trifluoromethanesulfonate	0.2647058823529412
Phenyl(tridecafluorohexyl)iodanium trifluoromethanesulfonate	0.2647058823529412
(Heptadecafluorooctyl)(phenyl)iodanium trifluoromethanesulfonate	0.2647058823529412
(Heptafluoropropyl)(phenyl)iodanium trifluoromethanesulfonate	0.2647058823529412
Triisopropylsilyl trifluoromethanesulfonate	0.2647058823529412
Methanesulfonic acid, trifluoro-, ethyl ester	0.2647058823529412
Sulfurochloridate	0.26666666666666666
1,1,3,3-Tetrakis(trifluoromethanesulfonyl)propane	0.26666666666666666
3-(Chlorosulfonyl)-2,2,3,3-tetrafluoropropanoyl chloride	0.26666666666666666
Methane, bromobis[(trifluoromethyl)sulfonyl]-	0.26666666666666666
2,3,3,3-Tetrafluoro-2-(fluorosulfonyl)propanoyl fluoride	0.26666666666666666
Methanetrisulfonyl trifluoride	0.26666666666666666
1,4-Butanedisulfonyl dichloride, 1,1,2,2,3,3,4,4-octafluoro-	0.26666666666666666
1-[bromo(1,1,2,2,3,3,4,4,4-nonafluorobutylsulfonyl)methyl]sulfonyl-1,1,2,2,3,3,4,4,4-nonafluorobutane	0.26666666666666666
Acetyl fluoride, difluoro(fluorosulfonyl)-	0.26666666666666666
Sulfuric acid	0.26666666666666666
NSC291324	0.2702702702702703
NSC175782	0.2702702702702703
Sulfurous acid--1,1,1,3,3,3-hexafluoropropan-2-ol (1/2)	0.2727272727272727
3-PENTANESULFONIC ACID	0.2727272727272727
bromomethanesulfonic acid	0.2727272727272727
Aluminum fluorosulfate, hydrate	0.2727272727272727
4-Mercaptobenzenesulfonic acid	0.2727272727272727
Methiodal	0.2727272727272727
2-Butanesulfonic acid	0.2727272727272727
4-Methylbenzenesulfonic acid	0.2727272727272727
1-(Trifluoromethanesulfonyl)prop-1-ene	0.27586206896551724
1,1,1,2,2,3,3,4,4-Nonafluoro-4-(prop-1-ene-1-sulfonyl)butane	0.27586206896551724
(Trifluoromethanesulfonyl)ethene	0.27586206896551724
1,2-Dichloro-1,2,2-trifluoroethane-1-sulfonyl chloride	0.27586206896551724
1,2-Dichloro-1,2,2-trifluoroethane-1-sulfonyl fluoride	0.27586206896551724
Trifluoromethanesulfonyl bromide	0.27586206896551724
2-Chloro-1,1,2,2-tetrafluoroethane-1-sulfonyl chloride	0.27586206896551724
Chloro(difluoro)methanesulfonyl fluoride	0.27586206896551724
Hexane, 1-(ethenylsulfonyl)-1,1,2,2,3,3,4,4,5,5,6,6,6-tridecafluoro-	0.27586206896551724
methyltrifluoromethylsulfone	0.27586206896551724
1,1,1,2,2,3,3,4,4-Nonafluoro-4-(methanesulfonyl)butane	0.27586206896551724
Heptadecafluoro-1-octanesulfonyl chloride	0.27586206896551724
Pentafluoroethane-1-sulfonyl chloride	0.27586206896551724
Nonafluoro-1-butanesulfonyl chloride	0.27586206896551724
1,1,2,2,3,3,4,4,5,5,6,6,6-Tridecafluorohexane-1-sulphonyl chloride	0.27586206896551724
Trifluoromethanesulphonyl chloride	0.27586206896551724
Difluoromethanesulphonyl chloride	0.27586206896551724
2,3,4-Tribromobenzene-1-sulfonic acid	0.2777777777777778
2,3-Dibromobenzene-1-sulfonic acid	0.2777777777777778
2,4-Dichlorobenzene-1-sulfonic acid	0.2777777777777778
2,3-dichlorobenzenesulfonic Acid	0.2777777777777778
2,6-dichlorobenzenesulfonic Acid	0.2777777777777778
2-iodobenzenesulfonic Acid	0.2777777777777778
2,3,4,5,6-pentachlorobenzenesulfonic acid	0.2777777777777778
3,4-Dichlorobenzenesulfonic acid	0.2777777777777778
2-bromobenzenesulfonic Acid	0.2777777777777778
Benzenesulfonic acid, 2,5-dichloro-	0.2777777777777778
2,4,5-Trichlorobenzenesulfonic acid	0.2777777777777778
1,1,2,3,4,4,5,5,6,6,6-Undecafluorohex-2-en-1-yl sulfurofluoridate	0.28125
Dihydroxy(oxo)(sulfodisulfanyl)-lambda~5~-phosphane	0.28125
Ammonium sulfurofluoridate	0.28125
Potassium sulfurofluoridate	0.28125
1,1,1,3,3,3-Hexafluoro-2-(trifluoromethyl)propan-2-yl sulfurofluoridate	0.28125
Benzenesulfinic acid, 4-(trifluoromethyl)-	0.28125
2-Iodo-1,1,2,2-tetrafluoroethyl chlorosulfate	0.28125
2-propyne-1-sulfonic acid	0.28125
Pyrosulfurous acid	0.28125
Trithionic acid	0.28125
Dithionic acid	0.28125
Fluorosulfuric acid, methyl ester	0.28125
(4-Fluorophenyl)(heptadecafluorooctyl)iodanium hydrogen sulfate	0.2857142857142857
(2R)-1-Chloro-1-oxopropan-2-yl trifluoromethanesulfonate	0.2857142857142857
Tribromo(dibromomethanesulfonyl)methane	0.2857142857142857
3-Methylpent-1-yn-1-yl trifluoromethanesulfonate	0.2857142857142857
1-(4-Bromophenyl)-2,2,2-trifluoroethyl trifluoromethanesulfonate	0.2857142857142857
Methyl 1,1,1,2,4,4,4-heptafluoro-3-oxobutane-2-sulfonate	0.2857142857142857
(Pentafluoroethyl)(phenyl)iodanium hydrogen sulfate	0.2857142857142857
2-Chloro-2-oxoethane-1-sulfonic acid	0.2857142857142857
Diphenyl[(trifluoromethanesulfonyl)oxy]borane	0.2857142857142857
Cyclopropyl trifluoromethanesulfonate	0.2857142857142857
Sulfurofluoridous acid	0.2857142857142857
DICYCLOPENTYLBORYL TRIFLUOROMETHANESULFONATE	0.2857142857142857
BENZYL TRIFLUOROMETHANESULFONATE	0.2857142857142857
Sodium 1,1,2,2-tetrafluoro-2-(1,1,2,2,2-pentafluoroethoxy)ethanesulfonate	0.2857142857142857
Potassium 1,1,2,2-tetrafluoro-2-(pentafluoroethoxy)ethane-1-sulfonate	0.2857142857142857
4-(bromomethyl)benzenesulfonic acid	0.2857142857142857
Sulphonylbis(tribromomethane)	0.2857142857142857
2,3,3-Trichloro-2-propenesulfonic acid	0.2857142857142857
2-Methyl-1-propenyl trifluoromethanesulfonate	0.2857142857142857
Methane, sulfonylbis[dichloro-	0.2857142857142857
Sulfite, hydrogen	0.2857142857142857
Bis(trichloromethyl)sulfone	0.2857142857142857
PUBCHEM_54599707	0.2894736842105263
Sulfuric acid--water (1/5)	0.2903225806451613
Sulfuric acid--water (1/12)	0.2903225806451613
Sulfuric acid--water (1/6)	0.2903225806451613
Sulfuric acid--water (1/15)	0.2903225806451613
Sulfuric acid--water (1/11)	0.2903225806451613
Sulfuric acid--water (1/7)	0.2903225806451613
Sulfuric acid--water (1/9)	0.2903225806451613
Sulfuric acid--water (1/16)	0.2903225806451613
Sulfuric acid--water (1/14)	0.2903225806451613
Sulfuric acid--water (1/17)	0.2903225806451613
Sulfuric acid--water (1/10)	0.2903225806451613
Sulfuric acid--water (1/13)	0.2903225806451613
Sulfuric acid--water (1/3)	0.2903225806451613
Sulfuric acid--water (1/4)	0.2903225806451613
Hydrogen disulfate	0.2903225806451613
1,1,2,2-Tetrafluoro-2-(1,2,2,2-tetrafluoroethoxy)ethane-1-sulfonyl fluoride	0.2903225806451613
